paper,section,link
1505.04597v1.pdf,reference,http://www.codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html
1505.04597v1.pdf,reference,http://brainiac2.mit.edu/isbi_challenge/
1505.04597v1.pdf,body,http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net
1505.04597v1.pdf,note,https://www.codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html
1506.02640v5.pdf,body,http://pjreddie.com/yolo/
1506.02640v5.pdf,reference,https://github.com/BVLC/caffe/wiki/Models-accuracy-on-ImageNet-2012-val
1506.02640v5.pdf,reference,http://pjreddie.com/darknet/
1512.02595v1.pdf,body,http://www.voxforge.org
1512.02595v1.pdf,reference,http://arxiv.org/abs/1508.04395
1512.02595v1.pdf,reference,https://nvlabs.github.io/moderngpu/
1512.02595v1.pdf,reference,http://arxiv.org/abs/1508.01211
1512.02595v1.pdf,reference,http://arxiv.org/abs/1412.1602
1512.02595v1.pdf,reference,http://svail.github.io/rnn_perf
1512.02595v1.pdf,reference,http://arxiv.org/abs/1412.5567
1512.02595v1.pdf,reference,http://arxiv.org/abs/1408.2873
1512.02595v1.pdf,reference,http://arxiv.org/abs/1510.01378
1512.02595v1.pdf,reference,https://github.com/NervanaSystems/nervanagpu
1512.02595v1.pdf,reference,http://arxiv.org/abs/1211.5063
1512.02595v1.pdf,reference,http://arxiv.org/abs/1507.06947
1512.02595v1.pdf,reference,http://arxiv.org/abs/1409.3215
1512.02595v1.pdf,reference,http://arxiv.org/abs/1502.03167
1512.02595v1.pdf,reference,http://arxiv.org/abs/1410.4615
1512.02595v1.pdf,body,https://www.voxforge.org
1512.02595v1.pdf,body,http://commoncrawl.org
1512.02595v1.pdf,reference,http://arxiv.org/abs/1508.01211.cuDNN
1512.02595v1.pdf,reference,http://arxiv.org/abs/1412.5567.First-pass
1512.02595v1.pdf,reference,http://arxiv.org/abs/1408.2873.Scalable
1512.02595v1.pdf,reference,http://arxiv.org/abs/1510.01378.Building
1512.02595v1.pdf,reference,http://arxiv.org/abs/1211.5063.Bandwidth
1512.02595v1.pdf,reference,http://arxiv.org/abs/1507.06947.Sequence
1512.02595v1.pdf,reference,http://arxiv.org/abs/1409.3215.Batch
1512.02595v1.pdf,reference,http://arxiv.org/abs/1502.03167.Going
1604.01685v2.pdf,note,https://www.cityscapes
1606.05250v3.pdf,body,https://stanford-qa.com
1606.05250v3.pdf,body,https://worksheets.codalab.org/worksheets/0xd53d03a48ef64b329c16b9baf0f99b0c/
1702.05373v2.pdf,body,https://www.westernsydney.edu.au/bens/home/reproducibleresearch/emnist
1702.05373v2.pdf,reference,http://www.nist.gov/srd/upload/nistsd19.pdf
1702.05373v2.pdf,reference,http://portal.acm.org/citation.cfm?doid=1141277.1141468
1702.05373v2.pdf,body,https://www.westernsydney.edu.au/bens/home/reproducible
1702.05373v2.pdf,note,https://www.nist.gov/srd/upload/nistsd19.pdf
1702.05747v2.pdf,body,https://github.com/Lasagne/Lasagne
1702.05747v2.pdf,body,https://keras.io/
1702.05747v2.pdf,reference,https://doi.org/10.1109/TMI.2015.2476509
1702.05747v2.pdf,body,https://www.grand-challenge.org
1706.03762v7.pdf,body,https://github.com/tensorflow/tensor2tensor
1706.03762v7.pdf,body,https://github.com/tensorflow/tensor2tensor.Input-Input
1707.02919v2.pdf,body,http://www.lemurproject.org/
1707.02919v2.pdf,reference,https://doi.org/10.3115/1119176.1119199
1707.02919v2.pdf,reference,https://www.emc.com/collateral/analyst-reports/idc-the-digital-universe-in-2020.pdf
1707.02919v2.pdf,body,https://www.lemurproject.org/
1707.02919v2.pdf,body,https://www.crisp-dm.org/
1707.02919v2.pdf,body,http://en.wikipedia.org/wiki/Statistics
1707.02919v2.pdf,body,https://www.cs.waikato.ac.nz/ml/weka/
1707.02919v2.pdf,body,https://www.w3.org/TR/webont-req/
1707.02919v2.pdf,body,https://www.obofoundry.org/
1707.02919v2.pdf,body,https://www.bioontology.org/
1707.02919v2.pdf,body,http://bioportal.bioontology.org/
1707.02919v2.pdf,body,https://uts.nlm.nih.gov/home.html
1707.02919v2.pdf,body,https://www.pharmgkb.org/
1708.05031v2.pdf,doi,https://doi.org/10.1145/3038912.3052569
1708.05031v2.pdf,body,http://alex.smola.org/teaching/berkeley2012/slides/8_
1708.05031v2.pdf,body,http://grouplens.org/datasets/movielens/1m/
1708.05031v2.pdf,body,https://sites.google.com/site/xueatalphabeta/academic-projects
1708.05031v2.pdf,body,https://github.com/hexiangnan/neural_
1710.10903v3.pdf,reference,https://www.tensorflow.org/
1710.10903v3.pdf,reference,http://arxiv.org/abs/1611.02344
1710.10903v3.pdf,reference,http://papers.nips.cc/paper/6863-vain-attentional-multi-agent-predictive-modeling.pdf
1710.10903v3.pdf,reference,http://arxiv.org/abs/1410.3916
1710.10903v3.pdf,doi,https://doi.org/10.1109/72.572108
1710.10903v3.pdf,body,https://github.com/PetarV-/GAT
1710.10903v3.pdf,reference,http://arxiv.org/abs/1611.02344.Understanding
1710.10903v3.pdf,reference,http://arxiv.org/abs/1410.3916.Revisiting
1710.10903v3.pdf,reference,https://doi.org/10.1109/72.572108.Dropout
1810.04805v2.pdf,body,https://github.com/google-research/bert
1810.04805v2.pdf,body,https://gluebenchmark.com/leaderboard
1810.04805v2.pdf,doi,https://doi.org/10.18653/v1/S17-2001
1810.04805v2.pdf,body,https://cloudplatform.googleblog.com/2018/06/Cloud-TPU-now-offers-preemptible-pricing-and-globalavailability.html
1810.04805v2.pdf,body,https://github.com/tensorflow/tensor2tensor
1810.04805v2.pdf,body,http://nlp.seas.harvard.edu/2018/04/03/attention.html
1810.04805v2.pdf,body,https://gluebenchmark.com/faq
