paper,source,section,page,kind,raw,link,context
1807.10609v1.pdf,pymupdf,page_text,1,url,https://www.kaggle.com/ruizgara/socofing,https://www.kaggle.com/ruizgara/socofing,"h three different levels of alter- ation for obliteration, central rotation, and z-cut. The dataset is freely available for noncommercial research purposes at: https://www.kaggle.com/ruizgara/socofing 1 Introduction The SOCOFing dataset contains 6,000 fingerprints belonging to 600 African subjects. There are 10 fingerprints per subject and all subjects are 1"
1807.10609v1.pdf,grobid_tei,target,,url,https://github.com/kermitt2/grobid,https://github.com/kermitt2/grobid,
2308.01760v1.pdf,pymupdf,page_text,1,url,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,"ons are impossible, even for human experts. The dataset and detailed step-by-step instructions to generate related segmentation masks are publicly available at https://www.kaggle.com/datasets/ipateam/nuinsseg and https://github.com/masih4/NuInsSeg, respectively. Background & Summary With the advent of brightfield and fluorescent digital scanners that produce and sto"
2308.01760v1.pdf,pymupdf,page_text,1,url,"https://github.com/masih4/NuInsSeg,",https://github.com/masih4/NuInsSeg,"et and detailed step-by-step instructions to generate related segmentation masks are publicly available at https://www.kaggle.com/datasets/ipateam/nuinsseg and https://github.com/masih4/NuInsSeg, respectively. Background & Summary With the advent of brightfield and fluorescent digital scanners that produce and store whole slide images (WSIs) in digital"
2308.01760v1.pdf,pymupdf,page_text,3,url,https://www.kaggle.com/datasets/ipateam/nuinsseg).The,https://www.kaggle.com/datasets/ipateam/nuinsseg).The,"ions, such as the represented spleen image in the last row. Data Records The NuInsSeg dataset is publicly available on a published page on the Kaggle platform (https://www.kaggle.com/datasets/ipateam/nuinsseg).The related code to generate the binary, labeled, and auxiliary segmentation masks from 3/7"
2308.01760v1.pdf,pymupdf,page_text,4,url,https://github.com/masih4/NuInsSeg.This,https://github.com/masih4/NuInsSeg.This,"uman 472 23247 49.3 All mouse 193 7451 38.6 All human + mouse 665 30698 46.2 the ImageJ ROI files is also available on the NuInsSeg published GitHub repository https://github.com/masih4/NuInsSeg.This dataset contains 665 image patches with 30,698 segmented nuclei from 31 human and mouse organs. The organ-specific details of the generated dataset are shown i"
2308.01760v1.pdf,pymupdf,page_text,4,url,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,all convolutional layers in both encoder and decoder parts. Four and five convolutional blocks were used in the encoder and decoder parts of the shallow U-Net 1https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 4/7
2308.01760v1.pdf,pymupdf,page_text,5,url,https://www.tissuegnostics.com/),https://www.tissuegnostics.com/,"by the Austrian Research Promotion Agency (FFG), No.872636. We would like to thank NVIDIA for their generous GPU donation and the TissueGnostics support team (https://www.tissuegnostics.com/) for their valuable advice to generate the NuInsSeg dataset. Moreover, we would like to thank Adolf Ellinger (MedUni Vienna) for providing the human tissue sect"
2308.01760v1.pdf,pymupdf,page_text,6,url,"https://doi.org/10.1038/s41597-020-00608-w(2020).16.Mahbod,",https://doi.org/10.1038/s41597-020-00608-w(2020).16.Mahbod,"2–2581, 10.1109/TMI.2018.2842767(2018).15.Kromp, F. et al. An annotated fluorescence image dataset for training nuclear segmentation methods. Sci. Data 7, 1–8, https://doi.org/10.1038/s41597-020-00608-w(2020).16.Mahbod, A. et al. Investigating the impact of the bit depth of fluorescence-stained images on the performance of deep learning-based nuclei instance segmentation. Diag"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1038/s41374-020-00514-0(2021).2.Skinner,",https://doi.org/10.1038/s41374-020-00514-0(2021).2.Skinner,"authors declare no competing interests. References 1. Cui, M. & Zhang, D. Y. Artificial intelligence and computational pathology. Lab. Investig. 101, 412–422, 10.1038/s41374-020-00514-0(2021).2.Skinner, B. M. & Johnson, E. E. Nuclear morphologies: their diversity and functional relevance. Chromosoma 126, 195–212, 10.1007/s00412-016-0614-5(2017).3.Chan, J. K. C"
