pdf,url,heuristica,es_dataset_directo,json_descargado,html_descargado,header_checked,pagina_con_descargables,dataset_descargable,tipo_dataset_descargable,zip_descargado,zip_contiene_csv,zip_csv_encontrados,zip_total_archivos,zip_error,gap_json_found,gap_json_path,gap_dataset_names,zip_checked_because_gap_name_matched,total_descargables_json,total_descargables_html,header_content_type,header_content_disposition,json_content_type,html_content_type,motivo
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,True,True,False,False,True,True,https://www.kaggle.com/ruizgara/socofing,dataset_repository_page,False,False,,0,,False,,,False,0,0,text/html,,,,super_famous_dataset_domain
1807.10609v1.pdf,https://raw.githubusercontent.com/kermitt2/grobid/master/grobid-home/schemas/xsd/Grobid.xsd,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\1807.10609v1.dataset.json,"The SOCOFing dataset contains 6,000 fingerprints belonging to 600 African subjects. | Sokoto Coventry Fingerprint Dataset | 1807.10609v1.pdf | SOCOFing dataset | dataset-implicit | STRANGE toolbox | dataset-name",False,0,4,text/plain,,,text/plain,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
1807.10609v1.pdf,https://github.com/kermitt2/grobid,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\1807.10609v1.dataset.json,"The SOCOFing dataset contains 6,000 fingerprints belonging to 600 African subjects. | Sokoto Coventry Fingerprint Dataset | 1807.10609v1.pdf | SOCOFing dataset | dataset-implicit | STRANGE toolbox | dataset-name",False,0,318,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
Otterloo-Burda-Utrecht_Housing_dataset_CSR2025.pdf,https://www.kaggle.com/dataset,True,True,False,False,True,True,https://www.kaggle.com/dataset,dataset_repository_page,False,False,,0,,False,,,False,0,0,text/html,,,,super_famous_dataset_domain
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,145,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://www.tissuegnostics.com/,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,107,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
s41597-026-06867-3.pdf,https://doi.org/10.1038/s,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,text/html,,,text/html,no_dataset_found_headers_domain_direct_url_or_html_body
2308.01760v1.pdf,https://doi.org/10.1038/s41374-020-00514-0,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1007/s00412-016-0614-5,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,374,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1177/1066896913517939,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,text/html,,,text/html,no_dataset_found_headers_domain_direct_url_or_html_body
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2017.2677499,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1016/j.compbiomed.2021.104349,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2019.101563,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2019.2947628,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2018.2865709,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1109/ISBI.2017.7950669,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2020.101771,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,0,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.3389/fmed.2022.978146,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,397,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2018.2842767,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,,,,,no_dataset_found_headers_domain_direct_url_or_html_body
2308.01760v1.pdf,https://doi.org/10.3390/diagnostics11060967,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,text/html,,,text/html,no_dataset_found_headers_domain_direct_url_or_html_body
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2021.3085712,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,text/html,,,,no_dataset_found_headers_domain_direct_url_or_html_body
2308.01760v1.pdf,https://doi.org/10.1007/978-3-030-23937-4_9,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,121,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1038/s41597-020-0528-1,False,False,False,True,True,False,,,False,False,,0,,True,C:\Users\javi2\OneDrive\Documentos\Paper2RO\pdfs\2308.01760v1.dataset.json,"The NuInsSeg dataset contains fully annotated brightfield images for nuclei instance segmentation. | We also provide three kernels on the Kaggle platform to facilitate using our dataset. | In total, 665 raw image patches were created to build the NuInsSeg dataset. | 1 https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713 | https://www.kaggle.com/ 
datasets/ipateam/nuinsseg | https://www.kaggle.com/datasets/ipateam/nuinsseg | Github 
repository | Hou et al. dataset | Github repository | GitHub repository | NuInsSeg 
dataset | NuInsSeg dataset | dataset-implicit | 2308.01760v1.pdf | tissue samples | tabular data | dataset-name | nuinsseg | NuInsSeg | PanNuke | kaggle | Lizard | Kaggle",False,0,226,text/html,,,text/html,html_body_downloaded_but_no_direct_dataset_and_no_valid_dataset_zip
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2020.101771(2020).24,False,False,False,False,True,False,,,False,False,,0,,False,,,False,0,0,text/html,,,text/html,no_dataset_found_headers_domain_direct_url_or_html_body
