pdf,url,heuristica,pagina_con_descargables,csv_descargable
1505.04597v1.pdf,http://codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html,False,,
1505.04597v1.pdf,http://brainiac2.mit.edu/isbi_challenge,False,,
1505.04597v1.pdf,http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net,False,,
1506.02640v5.pdf,https://github.com/BVLC/caffe/wiki/Models-accuracy-on-ImageNet-2012-val,False,,
1506.02640v5.pdf,http://pjreddie.com/darknet,False,,
1506.02640v5.pdf,http://pjreddie.com/yolo,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1508.04395,False,,
1512.02595v1.pdf,https://nvlabs.github.io/moderngpu,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1508.01211,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1412.1602,False,,
1512.02595v1.pdf,http://svail.github.io/rnn_perf,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1412.5567,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1408.2873,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1510.01378,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1211.5063,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1507.06947,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1409.3215,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1502.03167,False,,
1512.02595v1.pdf,https://arxiv.org/abs/1410.4615,False,,
1512.02595v1.pdf,http://voxforge.org,False,,
1512.02595v1.pdf,http://commoncrawl.org,False,,
1606.05250v3.pdf,https://stanford-qa.com,False,,
1606.05250v3.pdf,https://worksheets.codalab.org/worksheets/0xd53d03a48ef64b329c16b9baf0f99b0c,False,,
1702.05373v2.pdf,http://nist.gov/srd/upload/nistsd19.pdf,False,,
1702.05373v2.pdf,http://portal.acm.org/citation.cfm?doid=1141277.1141468,False,,
1702.05373v2.pdf,https://westernsydney.edu.au/bens/home/reproducible,False,,
1702.05747v2.pdf,https://doi.org/10.1109/TMI.2015.2476509,False,,
1702.05747v2.pdf,https://github.com/Lasagne/Lasagne,False,,
1702.05747v2.pdf,https://grand-challenge.org,False,,
1706.03762v7.pdf,https://github.com/tensorflow/tensor2tensor,False,,
1706.08612v2.pdf,http://robots.ox.ac.uk/,False,,
1707.02919v2.pdf,https://doi.org/10.3115/1119176.1119199,False,,
1707.02919v2.pdf,https://emc.com/collateral/analyst-reports/idc-the-digital-universe-in-2020.pdf,False,,
1707.02919v2.pdf,http://lemurproject.org/The,False,,
1707.02919v2.pdf,http://crisp-dm.org/http:/en.wikipedia.org/wiki/Statistics,False,,
1707.02919v2.pdf,http://cs.waikato.ac.nz/ml/weka/http:/www.w3.org/TR/webont-req/http:/www.obofoundry.org/http:/www.bioontology.org/http:/bioportal.bioontology.org/https:/uts.nlm.nih.gov/home.html,False,,
1707.02919v2.pdf,http://pharmgkb.org/,False,,
1707.02919v2.pdf,http://crisp-dm.org/,False,,
1707.02919v2.pdf,http://en.wikipedia.org/wiki/Statistics,False,,
1707.02919v2.pdf,http://obofoundry.org/,False,,
1707.02919v2.pdf,http://bioontology.org/,False,,
1707.02919v2.pdf,http://bioportal.bioontology.org/,False,,
1707.02919v2.pdf,https://uts.nlm.nih.gov/home.html,False,,
1708.05031v2.pdf,https://doi.org/10.1145/3038912.3052569,False,,
1708.05031v2.pdf,http://alex.smola.org/teaching/berkeley2012/slides/8_Recommender.pdf,False,,
1708.05031v2.pdf,http://grouplens.org/datasets/movielens/1m/https:/sites.google.com/site/xueatalphabeta/academic-projects,False,,
1708.05031v2.pdf,https://github.com/hexiangnan/neural_collaborative_filtering,False,,
1708.05031v2.pdf,https://sites.google.com/site/xueatalphabeta/academic-projects,False,,
1710.10903v3.pdf,https://tensorflow.org,False,,
1710.10903v3.pdf,https://arxiv.org/abs/1611.02344,False,,
1710.10903v3.pdf,http://papers.nips.cc/paper/6863-vain-attentional-multi-agent-predictive-modeling.pdf,False,,
1710.10903v3.pdf,https://arxiv.org/abs/1410.3916,False,,
1710.10903v3.pdf,https://doi.org/10.1109/72.572108,False,,
1710.10903v3.pdf,https://github.com/PetarV-/GAT,False,,
1810.04805v2.pdf,https://doi.org/10.18653/v1/S17-2001,False,,
1810.04805v2.pdf,https://github.com/google-research/bert,False,,
1810.04805v2.pdf,https://gluebenchmark.com/leaderboardWikipedia,False,,
1810.04805v2.pdf,https://cloudplatform.googleblog.com/2018/06/Cloud-TPU-now-offers-preemptible-pricing-and-globalavailability.html,False,,
1810.04805v2.pdf,http://nlp.seas.harvard.edu/2018/04/03/attention.html,False,,
1810.04805v2.pdf,https://gluebenchmark.com/faq.QANet,False,,
