pdf,url,content_negotiation_realizada,metadatos_accesibles,heuristica,metadata_source,metadata_format,metadata_url,metadata_final_url,accept_header,dataset_metadata_field,dataset_metadata_value,dataset_metadata_evidence,motivo
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,True,False,False,,,,,,,,,metadata_not_dataset_or_not_accessible
1807.10609v1.pdf,https://www.github.com/kermitt2/grobid,True,True,False,original_url,generic_json,https://www.github.com/kermitt2/grobid,https://github.com/grobidOrg/grobid,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg,True,False,False,,,,,,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.github.com/masih4/NuInsSeg,True,True,False,original_url,generic_json,https://www.github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.tissuegnostics.com/,True,False,False,,,,,,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1038/s41597-020-00608-w(2020).16,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1038/s41597-020-00608-w(2020).16,https://api.datacite.org/dois/10.1038/s41597-020-00608-w(2020).16,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1038/s41374-020-00514-0(2021).2,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1038/s41374-020-00514-0(2021).2,https://api.datacite.org/dois/10.1038/s41374-020-00514-0(2021).2,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1007/s00412-016-0614-5(2017).3,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1007/s00412-016-0614-5(2017).3,https://api.datacite.org/dois/10.1007/s00412-016-0614-5(2017).3,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1177/1066896913517939(2014).4,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1177/1066896913517939(2014).4,https://api.datacite.org/dois/10.1177/1066896913517939(2014).4,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2017.2677499(2017).5,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2017.2677499(2017).5,https://api.datacite.org/dois/10.1109/tmi.2017.2677499(2017).5,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1016/j.compbiomed.2021.104349(2021).6,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1016/j.compbiomed.2021.104349(2021).6,https://api.datacite.org/dois/10.1016/j.compbiomed.2021.104349(2021).6,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1016/j.media.2019.101563(2019).7,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1016/j.media.2019.101563(2019).7,https://api.datacite.org/dois/10.1016/j.media.2019.101563(2019).7,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2019.2947628(2020).8,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2019.2947628(2020).8,https://api.datacite.org/dois/10.1109/tmi.2019.2947628(2020).8,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2018.2865709(2019).11,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2018.2865709(2019).11,https://api.datacite.org/dois/10.1109/tmi.2018.2865709(2019).11,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/ISBI.2017.7950669(2017).12,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/isbi.2017.7950669(2017).12,https://api.datacite.org/dois/10.1109/isbi.2017.7950669(2017).12,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1016/j.media.2020.101786(2020).13,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1016/j.media.2020.101786(2020).13,https://api.datacite.org/dois/10.1016/j.media.2020.101786(2020).13,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.3389/fmed.2022.978146(2022).14,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.3389/fmed.2022.978146(2022).14,https://api.datacite.org/dois/10.3389/fmed.2022.978146(2022).14,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2018.2842767(2018).15,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2018.2842767(2018).15,https://api.datacite.org/dois/10.1109/tmi.2018.2842767(2018).15,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.3390/diagnostics11060967(2021).17,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.3390/diagnostics11060967(2021).17,https://api.datacite.org/dois/10.3390/diagnostics11060967(2021).17,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2021.3085712(2021).18,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2021.3085712(2021).18,https://api.datacite.org/dois/10.1109/tmi.2021.3085712(2021).18,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1007/978-3-030-23937-4_2(SpringerInternationalPublishing,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1007/978-3-030-23937-4_2(springerinternationalpublishing,https://api.datacite.org/dois/10.1007/978-3-030-23937-4_2(springerinternationalpublishing,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1038/s41597-020-0528-1(2020).21,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1038/s41597-020-0528-1(2020).21,https://api.datacite.org/dois/10.1038/s41597-020-0528-1(2020).21,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1016/j.media.2020.101771(2020).24,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1016/j.media.2020.101771(2020).24,https://api.datacite.org/dois/10.1016/j.media.2020.101771(2020).24,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.3389/fbioe.2019.00053(2019).25,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.3389/fbioe.2019.00053(2019).25,https://api.datacite.org/dois/10.3389/fbioe.2019.00053(2019).25,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1109/TMI.2016.2525803(2016).26,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1109/tmi.2016.2525803(2016).26,https://api.datacite.org/dois/10.1109/tmi.2016.2525803(2016).26,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.4103/2153-3539.186902(2016).27,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.4103/2153-3539.186902(2016).27,https://api.datacite.org/dois/10.4103/2153-3539.186902(2016).27,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1142/9789814644730_0029(2014).28,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1142/9789814644730_0029(2014).28,https://api.datacite.org/dois/10.1142/9789814644730_0029(2014).28,application/json,,,,metadata_not_dataset_or_not_accessible
2308.01760v1.pdf,https://www.doi.org/10.1091/mbc.E20-02-0156(2020).30,True,True,False,datacite_api_fallback,datacite_api_fallback,https://api.datacite.org/dois/10.1091/mbc.e20-02-0156(2020).30,https://api.datacite.org/dois/10.1091/mbc.e20-02-0156(2020).30,application/json,,,,metadata_not_dataset_or_not_accessible
