pdf,original_url,normalized_url,duplicate_of,reason
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.w3.org/2001/XMLSchema-instance,http://www.w3.org/2001/XMLSchema-instance,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.w3.org/1999/xlink,http://www.w3.org/1999/xlink,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
1807.10609v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg).The,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_exact
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg.This,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,duplicate_exact
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_similar
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_exact
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.w3.org/2001/XMLSchema-instance,http://www.w3.org/2001/XMLSchema-instance,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://raw.githubusercontent.com/kermitt2/grobid/master/grobid-home/schemas/xsd/Grobid.xsd,https://raw.githubusercontent.com/kermitt2/grobid/master/grobid-home/schemas/xsd/Grobid.xsd,https://raw.githubusercontent.com/kermitt2/grobid/master/grobid-home/schemas/xsd/Grobid.xsd,duplicate_exact
2308.01760v1.pdf,http://www.w3.org/1999/xlink,http://www.w3.org/1999/xlink,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://github.com/kermitt2/grobid,https://github.com/kermitt2/grobid,https://github.com/kermitt2/grobid,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_exact
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg).The,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg.This,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_similar
2308.01760v1.pdf,https://www.tissuegnostics.com/,https://www.tissuegnostics.com/,https://www.tissuegnostics.com/,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,https://www.kaggle.com/datasets/ipateam/nuinsseg,duplicate_exact
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,https://github.com/masih4/NuInsSeg,duplicate_exact
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
2308.01760v1.pdf,http://www.tei-c.org/ns/1.0,http://www.tei-c.org/ns/1.0,,internal_grobid_or_xml_url
