paper,url,source,decision,score
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,H1,accepted_h1,85
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,H1,accepted_h1,85
1807.10609v1.pdf,https://raw.githubusercontent.com/kermitt2/grobid/master/grobid-home/schemas/xsd/Grobid.xsd,H1,rejected_h1_invalid,0
1807.10609v1.pdf,https://github.com/kermitt2/grobid,H1,rejected_h1_invalid,0
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,H2,rejected_h2_not_positive,0
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,H2,rejected_h2_not_positive,0
1807.10609v1.pdf,https://www.kaggle.com/ruizgara/socofing,fallback,accepted_fallback,85
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://www.tissuegnostics.com/,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1038/s41374-020-00514-0,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1007/s00412-016-0614-5,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1177/1066896913517939,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2017.2677499,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1016/j.compbiomed.2021.104349,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2019.101563,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2019.2947628,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2018.2865709,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/ISBI.2017.7950669,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2020.101771,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.3389/fmed.2022.978146,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2018.2842767,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.3390/diagnostics11060967,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2021.3085712,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1007/978-3-030-23937-4_9,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1038/s41597-020-0528-1,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1016/j.media.2020.101771(2020).24,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.3389/fbioe.2019.00053,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2016.2525803,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.4103/2153-3539.186902,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1142/9789814644730_0029,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1091/mbc.E20-02-0156,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2022.3157048,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1007/978-3-319-24574-4_28,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/CVPR.2016.90,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1007/978-3-030-23937-4_9(2019).35,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1109/TMI.2022.3156023,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://doi.org/10.1007/978-3-030-68763-2_26,H1,rejected_h1_invalid,0
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,H2,rejected_h2_not_positive,0
2308.01760v1.pdf,https://www.tissuegnostics.com/,H2,rejected_h2_not_positive,0
2308.01760v1.pdf,https://github.com/masih4/NuInsSeg,H2,rejected_h2_not_positive,0
2308.01760v1.pdf,https://www.tissuegnostics.com/,H2,rejected_h2_not_positive,0
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg,fallback,accepted_fallback,85
2308.01760v1.pdf,https://www.kaggle.com/datasets/ipateam/nuinsseg/code?datasetId=1911713,fallback,accepted_fallback,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/nutritionverse/nutritionverse-real,H1,accepted_h1,85
2401.08598v1.pdf,https://www.kaggle.com/datasets/37th,H1,accepted_h1,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/nutritionverse/nutritionverse-real,H1,accepted_h1,85
2401.08598v1.pdf,https://www.kaggle.com/datasets/37th,H1,accepted_h1,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/nutritionverse/nutritionverse-real,H2,rejected_h2_not_positive,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/37th,H2,rejected_h2_not_positive,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/nutritionverse/nutritionverse-real,H2,rejected_h2_not_positive,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/37th,H2,rejected_h2_not_positive,0
2401.08598v1.pdf,https://www.kaggle.com/datasets/nutritionverse/nutritionverse-real,fallback,accepted_fallback,85
2401.08598v1.pdf,https://www.kaggle.com/datasets/37th,fallback,accepted_fallback,0
2505.16226v1.pdf,https://www.kaggle.com/datasets/vinnyr12/eye-movements,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/vstacknocopyright/electricity,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/fedesoriano/heart-failure-prediction,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/alexanderliapatis/miniboone,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/uciml/iris,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/youssefaboelwafa/clusteringpenguins-species,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/rodolfomendes/abalone-dataset,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/abdullapathan/bikesharingdemand,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/maajdl/yeh-concret-data,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/owm4096/laptop-prices,H1,accepted_h1,85
2505.16226v1.pdf,https://anonymous.4open.science/r/tabpfn-ood-4E65,H1,rejected_h1_invalid,0
2505.16226v1.pdf,https://www.kaggle.com/datasets/vinnyr12/eye-movements,H1,accepted_h1,85
2505.16226v1.pdf,https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,H1,accepted_h1,70
2505.16226v1.pdf,https://archive.ics.uci.edu/dataset/186/wine+quality,H1,accepted_h1,70
2505.16226v1.pdf,https://www.openml.org/search?id=45021&status=active&type=data,H1,accepted_h1,70
2505.16226v1.pdf,https://www.kaggle.com/datasets/vstacknocopyright/electricity,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/fedesoriano/heart-failure-prediction,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/alexanderliapatis/miniboone,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/uciml/iris,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/youssefaboelwafa/clusteringpenguins-species,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/rodolfomendes/abalone-dataset,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/abdullapathan/bikesharingdemand,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/maajdl/yeh-concret-data,H1,accepted_h1,85
2505.16226v1.pdf,https://www.kaggle.com/datasets/owm4096/laptop-prices,H1,accepted_h1,85
2505.16226v1.pdf,https://github.com/namkoong-lab/whyshift,H1,rejected_h1_invalid,0
2505.16226v1.pdf,https://www.kaggle.com/datasets/vinnyr12/eye-movements,H2,rejected_h2_not_positive,0
2505.16226v1.pdf,https://github.com/namkoong-lab/whyshift,H2,rejected_h2_not_positive,0
2505.16226v1.pdf,https://www.kaggle.com/datasets/vinnyr12/eye-movements,H2,rejected_h2_not_positive,0
2505.16226v1.pdf,https://github.com/namkoong-lab/whyshift,H2,rejected_h2_not_positive,0
2505.16226v1.pdf,https://www.kaggle.com/datasets/vinnyr12/eye-movements,fallback,accepted_fallback,85
2506.10412v4.pdf,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/DataSummary.csv,H1,accepted_h1,40
2506.10412v4.pdf,http://data.gdeltproject.org/gdeltv2/20150218230000.export.CSV.zip,H1,accepted_h1,40
2506.10412v4.pdf,https://huggingface.co/datasets/Zihan1004/FNSPID,H1,accepted_h1,80
2506.10412v4.pdf,https://huggingface.co/datasets/Zihan1004/FNSPID,H1,accepted_h1,80
2506.10412v4.pdf,https://aqs.epa.gov/aqsweb/airdata/file_list.csv,H1,accepted_h1,40
2506.10412v4.pdf,https://www.kaggle.com/datasets/blacksnail789521/time-imm/data,H1,accepted_h1,85
2506.10412v4.pdf,https://github.com/blacksnail789521/Time-IMM,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://github.com/blacksnail789521/IMM-TSF,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/DataSummary.csv,H1,accepted_h1,40
2506.10412v4.pdf,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/DataSummary.xlsx,H1,accepted_h1,40
2506.10412v4.pdf,https://physionet.org/content/mimi-civ/1.0,H1,accepted_h1,180
2506.10412v4.pdf,https://platform.openai.com/docs/models/gpt-4.1-nano,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://archive.ics.uci.edu/dataset/321/electricityloaddiagrams20112014,H1,accepted_h1,70
2506.10412v4.pdf,https://archive.physionet.org/challenge/2012,H1,accepted_h1,180
2506.10412v4.pdf,https://www.epa.gov/air-quality,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://archive.ics.uci.edu/dataset/196/localization+,H1,accepted_h1,70
2506.10412v4.pdf,http://data.gdeltproject.org/gdeltv2/20150218230000.export.CSV.zip,H1,accepted_h1,40
2506.10412v4.pdf,https://physionet.org/content/mimiciv/3.1,H1,accepted_h1,180
2506.10412v4.pdf,https://github.com/edebrouwer/gru_ode_bayes/tree/master/data_preproc/MIMIC,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://huggingface.co/datasets/Zihan1004/FNSPID,H1,accepted_h1,80
2506.10412v4.pdf,https://huggingface.co/datasets/Zihan1004/FNSPID,H1,accepted_h1,80
2506.10412v4.pdf,https://github.com/alibaba/clusterdata/tree/master?tab=readme-ov-file,H1,rejected_h1_invalid,0
2506.10412v4.pdf,https://aqs.epa.gov/aqsweb/airdata/file_list.csv,H1,accepted_h1,40
2506.10412v4.pdf,https://data.commoncrawl.org/crawl-data/CC-NEWS,H1,rejected_h1_invalid,0
